id,date,departureTime,arrivalTime,flightNumber,from_code,from,to_code,to,availableSeats,distance,hours,minutes,price
21,2021/11/23,602,812,1919,CCL,Chinchilla,SXF,Berlin,200,1020,6,10,195.89
22,2021/9/27,602,821,4401,BIS,Bismarck,FMN,Farmington,200,502,6,5,134.83
23,2021/12/17,606,858,1895,JRO,Kilimanjaro,BRD,Brainerd,200,1085,6,10,35.22
24,2021/8/17,606,837,1743,XNA,Bentonville,KLX,Kalamata,200,760,6,10,133.75
25,2021/11/29,607,858,1077,ZNF,Hanau,CCZ,Chub Cay,200,1085,6,7,63.12
26,2021/10/29,608,807,3768,EBL,Erbil,MUZ,Musoma,200,719,6,0,168.67
27,2021/5/28,611,945,303,SJZ,Sao Jorge Island,WIE,Wiesbaden,200,2586,6,0,83.71
28,2021/6/2,613,925,135,ROD,Robertson,TKQ,Kigoma,200,1074,6,10,13.59
29,2021/7/15,615,1039,709,WDS,Shiyan,ASI,Wide Awake,200,1598,6,15,186.1
30,2021/6/21,615,833,575,OUH,Oudtshoorn,RGL,Rio Gallegos,200,746,6,15,110.55
31,2021/9/26,622,1017,245,MFD,Mansfield,LEY,Lelystad,200,2133,6,30,97.96
32,2021/6/2,623,920,1837,LEQ,Land's End,OLZ,Olekminsk,200,1096,6,10,94.69
33,2021/11/7,623,933,496,ONX,Colón,MVD,Montevideo,200,1416,6,27,33.92
34,2021/10/29,624,909,4626,CAK,Akron,OLZ,Olekminsk,200,1008,6,30,55.59
35,2021/8/29,624,840,4599,TIH,Tikehau,MWF,Maewo Island,200,1020,6,30,124.74
36,2021/6/22,627,1018,27,VAS,Sivas,JXA,Jixi,200,2153,6,30,161.81
37,2021/6/9,628,1137,413,ILM,Wilmington,RDN,Redang,200,1598,6,30,10.1
38,2021/5/22,628,1016,1665,YWL,Williams Lake,HHE,Hachinoe,200,2454,6,30,57.67
39,2021/8/28,629,824,303,YMJ,Moose Jaw,ANV,Anvik,200,733,6,30,61.11
40,2021/10/16,629,721,4646,BPC,Bamenda,HBX,Hubli,200,185,6,30,142.87
41,2021/5/9,629,824,1019,CDP,Cuddapah,ESC,Escanaba,200,529,6,30,79.53
42,2021/12/3,632,740,4144,LUG,Lugano,NGX,Manang,200,212,6,8,64.83
43,2021/12/21,635,1028,711,CIA,Rome,HTR,Taketomi,200,1389,6,35,167.16
44,2021/8/16,637,930,389,GXY,Greeley,FUK,Fukuoka,200,950,6,45,31.32
45,2021/7/16,639,739,1002,KUA,Kuantan,KGD,Kaliningrad,200,187,6,40,188.57
46,2021/12/7,643,922,556,AXA,The Valley,ALB,Albany,200,1023,6,46,52.71
47,2021/12/19,643,837,926,GOQ,Golmud,CEI,Chiang Rai,200,529,6,45,164.83
48,2021/5/28,644,931,1701,KSZ,Kotlas,ASV,Amboseli National Park,200,1065,6,36,73.9
49,2021/11/18,645,815,102,SLA,Salta,SRX,Sirt,200,301,6,47,123.44
50,2021/6/19,646,910,883,KZF,Kieta,WUX,Wuxi,200,1620,6,45,75.29
51,2021/5/14,646,1023,1496,GUL,Goulburn,PLO,Port Lincoln,200,2434,6,45,71.95
52,2021/11/9,651,936,203,PSL,Perth,OUE,Ouesso,200,2248,6,55,150.35
53,2021/6/2,652,932,117,BHH,Bisha,FLV,Fort Leavenworth,200,1182,6,55,99.41
54,2021/12/18,653,936,1383,SEA,Seattle,GBT,Gorgan,200,1035,7,0,30.13
55,2021/7/15,655,1021,1415,QFO,Duxford,ACN,Ciudad Acuna,200,1990,6,55,195.35
56,2021/10/27,655,1037,1865,YZV,Sept-iles,DOM,Dominica,200,2586,7,0,119.77
57,2021/9/29,655,1002,2003,KWA,Kwajalein,PWM,Portland,200,1096,7,0,28.53
58,2021/12/19,656,854,305,MEN,Mende,LTI,Altai,200,733,7,0,74.76
59,2021/8/15,656,949,1815,HPN,White Plains,OCF,Ocala,200,944,6,59,27.24
60,2021/5/19,656,1007,4534,ZBR,Chah Bahar,ZTB,Tête-à-la-Baleine,200,1147,7,5,10.61
61,2021/6/13,656,948,1115,GLU,Gelephu,TMU,Nicoya,200,997,7,0,24.24
62,2021/10/17,657,959,1879,AWD,Aniwa,MNZ,Manassas,200,1076,7,0,169.94
63,2021/8/16,658,944,1547,OYE,Oyem,SNJ,Pinar Del Rio,200,762,7,0,89.43
64,2021/10/29,658,1027,399,DAB,Daytona Beach,OFK,Norfolk  Nebraska,200,2475,7,0,159.7
65,2021/6/20,659,1008,2279,YNM,Matagami,JJU,Qaqortoq,200,1096,7,0,132.65
66,2021/6/30,659,1008,981,TLA,Teller,JYR,Jiroft,200,1069,7,0,96.84
67,2021/6/1,659,907,831,LEY,Lelystad,TKF,Truckee,200,502,7,5,95.79
68,2021/9/10,659,959,960,NUQ,Mountain View,SAH,Sanaa,200,1068,7,0,68.63
69,2021/7/19,701,1123,1203,YBB,Pelly Bay,KIV,Chisinau,200,1608,7,0,107.42
70,2021/6/8,702,1058,671,HDY,Hat Yai,IBA,Ibadan,200,2475,7,0,176.69
71,2021/12/9,709,852,1092,ESK,Eskisehir,MLW,Monrovia,200,733,7,0,126.47
72,2021/6/28,711,1151,715,YLI,Ylivieska-raudaskyla,KBL,Kabul,200,1598,7,15,146.33
73,2021/7/29,712,1023,825,MZO,Manzanillo,LEI,Almeria,200,1069,7,15,116.43
74,2021/12/28,715,911,544,TKP,Takapoto,CVM,Ciudad Victoria,200,719,7,13,167.37
75,2021/6/23,717,850,850,TML,Tamale,ZIH,Zihuatanejo,200,738,7,20,180.55
76,2021/7/28,719,1017,987,AVK,Arvaikheer,HAU,Haugesund,200,944,7,21,147.31
77,2021/7/19,723,1013,962,SLU,Castries,KLM,Kalaleh,200,1023,7,25,93.07
78,2021/8/14,724,1111,715,SAW,Istanbul,MJC,Man,200,1389,7,30,24.47
79,2021/10/15,724,1020,11,TUK,Turbat,TEE,Tebessa,200,2402,7,25,104.16
80,2021/5/21,725,1052,2083,LIN,Milan,YPY,Fort Chipewyan,200,1372,7,30,70.03
81,2021/7/29,727,959,1162,LAX,Los Angeles,UGO,Uige,200,1605,7,30,28.97
82,2021/5/12,728,1041,473,WMH,Mountain Home,ELY,Ely,200,1416,7,32,57.93
83,2021/10/6,729,1049,11,SBB,Santa Barbara,LQM,Puerto Leguízamo,200,2586,7,30,182.3
84,2021/6/12,732,857,20,DUT,Unalaska,GLT,Gladstone,200,264,7,35,80.07
85,2021/8/28,732,1041,1601,KKS,Kashan,LIN,Milan,200,1080,7,29,62.62
86,2021/6/16,732,1011,1111,LBE,Latrobe,CTL,Charlieville,200,937,6,45,170.95
87,2021/10/24,733,854,44,OBU,Kobuk,WXN,Wanxian,200,209,7,36,153.99
88,2021/9/24,734,1047,643,SFG,St. Martin,TGQ,Tangara da Serra,200,2586,7,37,116.87
89,2021/6/15,739,918,309,AEI,Algeciras,ZTA,Tureia,200,733,7,45,114.25
90,2021/5/29,739,1104,1479,SVP,Kuito,BTZ,Bursa,200,1400,7,39,128.25
91,2021/7/26,741,1038,983,BEC,Wichita,NHD,Minhad AB,200,1010,7,45,98.86
92,2021/5/19,743,1107,33,MRY,Monterey,LYB,Little Cayman,200,2475,7,30,144.77
93,2021/6/1,743,1043,341,LBR,Labrea,SYU,Sue Islet,200,1041,7,49,130.72
94,2021/10/9,743,1059,495,RJA,Rajahmundry,RRR,Raroia,200,2422,7,30,174.79
95,2021/11/24,745,1135,59,SQL,San Carlos,NSE,Milton,200,2586,7,45,119.4
96,2021/10/22,746,1119,1668,WKK,Aleknagik,SBB,Santa Barbara,200,2565,7,46,62.3
97,2021/6/26,749,939,3737,MRN,Morganton,GKE,Geilenkirchen,200,719,7,10,79.34
98,2021/8/7,752,1041,2263,KHD,Khorram Abad,AFL,Alta Floresta,200,950,7,55,28.81
99,2021/7/3,752,1025,477,VOL,Nea Anghialos,CMQ,Clermont,200,1620,7,50,148.31
100,2021/12/24,752,955,1733,GRM,Grand Marais,RET,Røst,200,544,7,59,139.18
101,2021/8/7,753,1056,2267,POB,Fort Bragg,MAO,Manaus,200,1096,7,55,102.39
102,2021/12/19,754,1039,2047,YYF,Penticton,SZF,Samsun,200,762,7,59,41.51
103,2021/12/7,754,1103,733,CTG,Cartagena,SGY,Skagway,200,1620,7,55,11.1
104,2021/10/21,758,1053,517,ISM,Kissimmee,KUG,Kubin,200,937,8,0,165.53
105,2021/11/18,759,1057,1843,SJZ,Sao Jorge Island,KIT,Kithira,200,1089,8,0,79.46
106,2021/11/5,800,1022,2119,ALC,Alicante,CCC,Cunagua,200,1020,8,0,61.15
107,2021/5/25,800,949,4406,MCE,Merced,AMH,Arba Minch,200,427,8,10,12.25
108,2021/11/21,801,900,1172,GRF,Fort Lewis,PZI,Panzhihua,200,200,8,5,82.74
109,2021/10/9,803,903,1838,YLH,Lansdowne House,VUP,Valledupar,200,187,8,10,111.65
110,2021/7/30,803,1132,223,YYZ,Toronto,LPQ,Luang Prabang,200,2586,8,0,117.89
111,2021/10/7,804,1103,1959,FCB,Ficksburg,TUK,Turbat,200,944,8,10,43.4
112,2021/11/3,805,1015,219,PSZ,Puerto Suarez,WKF,Waterkloof,200,541,8,5,131.07
113,2021/9/26,805,1118,3,EUX,Oranjestad,MCX,Makhachkala,200,1069,8,0,58.05
114,2021/8/26,805,1006,4490,HOG,Holguin,WVK,Manakara,200,479,8,15,176.12
115,2021/9/5,807,1043,269,WTZ,Whitianga,SCS,Scatsta,200,760,8,10,38.8
116,2021/8/2,809,1043,4388,ACT,Waco,YLC,Kimmirut,200,820,8,15,37.45
117,2021/10/25,810,1048,3538,MBX,Maribor,BTM,Butte,200,1029,8,10,191.5
118,2021/7/18,810,1100,2395,KRR,Krasnodar,BNA,Nashville,200,1035,8,15,40.68
119,2021/5/6,811,1006,4260,OSD,Östersund,TPJ,Taplejung,200,628,8,15,45.7
120,2021/11/8,811,1047,4576,OMD,Oranjemund,AAQ,Anapa,200,544,6,30,31.44
121,2021/10/10,811,1026,675,AJF,Al-Jawf,CME,Ciudad Del Carmen,200,529,8,15,160.87
122,2021/7/13,812,1040,4537,RKV,Reykjavik,SEF,Sebring,200,946,8,14,49.47
123,2021/9/18,813,1103,914,PAN,Pattani,PPR,Pasir Pangaraian,200,1620,8,15,165.11
124,2021/5/9,814,1047,346,ERD,Berdyansk,DJO,Daloa,200,762,8,10,100.88
125,2021/9/26,817,1005,1051,OUD,Oujda,LRU,Las Cruces,200,340,8,10,147.97
126,2021/10/17,820,1254,717,TIH,Tikehau,ARE,Arecibo,200,1598,8,20,11.57
127,2021/12/11,820,940,27,WXN,Wanxian,SCV,Suceava,200,187,8,30,72.16
128,2021/6/20,820,1249,301,MKU,Makokou,ABR,Aberdeen,200,1598,8,20,96.72
129,2021/9/4,821,1153,181,CJN,Nusawiru,VLY,Angelsey,200,2446,8,20,35.16
130,2021/12/11,821,932,4418,MDW,Chicago,NOU,Noumea,200,213,8,25,152.57
131,2021/10/21,822,1014,4104,BUP,Bhatinda,BRD,Brainerd,200,419,8,30,30.79
132,2021/8/27,823,1019,487,LKO,Lucknow,AEP,Buenos Aires,200,541,8,25,19.02
133,2021/10/14,823,1151,1223,MLC,Mcalester,FMM,Memmingen,200,1372,8,23,92.22
134,2021/6/18,824,1027,1855,EXT,Exeter,ZKP,Zyryanka,200,888,8,30,149.72
135,2021/10/5,825,1058,611,ORY,Paris,SKD,Samarkand,200,828,8,27,177.67
136,2021/7/19,826,1136,443,SXI,Siri Island,PLP,La Palma,200,1089,7,15,154.14
137,2021/10/11,826,1145,1480,PAS,Paros,SPS,Wichita Falls,200,2565,8,17,163.45
138,2021/12/23,828,1027,905,FNB,Neubrandenburg,DRE,Drummond Island,200,740,8,30,40.21
139,2021/5/25,828,1150,1506,AMA,Amarillo,PAH,PADUCAH,200,2454,8,23,92.94
140,2021/7/13,829,1152,443,SQX,Sao Miguel do Oeste,DDG,Dandong,200,2475,8,30,156.58
141,2021/9/12,829,1117,1592,ZAG,Zagreb,REL,Trelew,200,937,8,30,120.87
142,2021/8/14,830,1018,313,BTL,Battle Creek,YVO,Val D'or,200,733,8,30,188.83
143,2021/10/26,830,1052,4610,YQI,Yarmouth,BAG,Baguio,200,762,8,35,151.81
144,2021/8/6,831,1021,4412,YMM,Fort Mcmurray,XQP,Quepos,200,550,8,35,142.41
145,2021/6/28,832,1006,4521,OKI,Oki Island,QUG,Goodwood,200,431,8,40,140.33
146,2021/5/2,833,1134,835,PEF,Peenemunde,YHR,Chevery,200,1620,8,35,157.14
147,2021/8/8,835,1210,717,WNP,Naga,ZGU,Gaua Island,200,1389,8,35,104.9
148,2021/11/15,839,1027,4558,RAT,Raduzhnyi,NIS,Simberi Island,200,419,8,50,191.36
149,2021/12/12,840,1311,1357,YEY,Amos,BPN,Balikpapan,200,1598,8,45,117.8
150,2021/6/9,840,1053,2304,MWK,Anambas Islands,PZY,Piestany,200,509,8,45,26.59
151,2021/6/11,846,1138,553,PRP,Propriano,OOM,Cooma,200,1068,8,45,79.0
152,2021/7/3,848,1001,3944,POR,Pori,TTH,Thumrait,200,184,18,35,112.89
153,2021/7/28,848,1155,1741,PKB,PARKERSBURG,RCU,Rio Cuarto,200,1874,8,51,120.16
154,2021/10/29,851,1032,4548,SBY,Salisbury,ELS,East London,200,416,8,51,75.3
155,2021/11/30,851,1102,869,BSR,Basrah,YLR,Leaf Rapids,200,488,8,59,59.59
156,2021/6/28,851,1215,1626,CUL,Culiacan,ATB,Atbara,200,2425,8,40,133.03
157,2021/8/17,852,1046,3848,ANF,Antofagasta,DMD,Doomadgee,200,711,8,55,118.6
158,2021/8/5,853,1147,59,MPK,Mokpo,VTN,Valentine,200,1005,8,45,93.98
159,2021/8/11,855,1143,1747,DSN,Dongsheng,SIR,Sion,200,762,8,59,161.92
160,2021/11/13,856,1226,1,COR,Cordoba,SZG,Salzburg,200,2475,9,0,60.05
161,2021/5/3,856,1222,2143,BBP,Bembridge,YUB,Tuktoyaktuk,200,1096,9,0,11.67
162,2021/5/20,856,1140,1296,CCJ,Calicut,TEQ,Çorlu,200,1023,8,55,41.37
163,2021/6/28,857,1516,51,SFL,"Sao Filipe, Fogo Island",DUC,Duncan,200,4983,9,0,48.05
164,2021/11/22,857,1107,181,ZCN,Celle,CIS,Canton Island,200,502,9,5,41.19
165,2021/9/7,857,1124,485,RIN,Ringi Cove,SIQ,Singkep,200,746,9,0,100.03
166,2021/10/4,857,1157,1670,BSB,Brasilia,PBJ,Paama Island,200,2402,8,51,84.59
167,2021/9/22,858,1102,4478,WMT,Zunyi,HUH,Huahine Island,200,502,9,0,115.36
168,2021/8/22,859,1140,1885,YDN,Dauphin,SBB,Santa Barbara,200,950,9,0,161.64
169,2021/7/21,859,1223,407,OKK,Kokomo,IXC,Chandigarh,200,2475,9,0,66.65
170,2021/6/26,900,1211,1170,YIV,Island Lake,FDF,Fort-de-france,200,1065,9,0,125.18
171,2021/6/13,902,1048,580,KES,Kelsey,NAC,Naracoorte,200,719,9,3,173.72
172,2021/5/4,903,1045,4655,IYK,Inyokern,NYM,Nadym,200,764,8,20,25.19
173,2021/12/10,904,1207,1401,IQQ,Iquique,REG,Reggio Calabria,200,1085,9,6,83.17
174,2021/8/8,905,1309,1061,QFG,Eqalugaarsuit,PUG,Argyle,200,1521,9,5,85.3
175,2021/11/29,906,1134,1643,ZMG,Magdeburg,SWH,Swan Hill,200,1605,8,43,114.65
176,2021/11/15,908,1020,56,YYB,North Bay,UTP,Pattaya,200,266,9,10,136.2
177,2021/9/24,908,1004,1467,HMY,Seosan,MHU,Mount Hotham,200,96,9,15,48.39
178,2021/7/28,908,1228,1220,OSK,Oskarshamn,NRK,Norrkoeping,200,1400,9,8,61.33
179,2021/5/23,909,1331,655,AKB,Atka,BUL,Bulolo,200,1623,8,10,183.47
180,2021/11/14,912,1241,647,OSW,Orsk,SUV,Nausori,200,1089,9,0,127.52
181,2021/5/10,912,1219,1601,OBS,Aubenas-vals-lanas,PDP,Punta del Este,200,1085,9,6,171.26
182,2021/6/30,913,1346,1519,ARN,Stockholm,DMT,Diamantino,200,1634,9,18,149.37
183,2021/11/28,914,1244,1589,TXG,Taichung,KME,Kamembe,200,1372,9,20,179.07
184,2021/7/30,914,1058,783,RCH,Rio Hacha,MSR,Mus,200,404,9,0,13.46
185,2021/8/19,917,1313,721,VER,Vera Cruz,AGJ,Aguni,200,1389,9,20,29.69
186,2021/10/10,917,1206,41,OTU,Otu,DZN,Zhezkazgan,200,944,9,15,22.65
187,2021/6/14,917,1052,1103,SVU,Savusavu,OZR,Fort Rucker/Ozark,200,427,9,20,52.23
188,2021/8/2,920,1039,1305,AKV,Akulivik,HVR,Havre,200,228,9,5,17.84
189,2021/10/9,920,1152,4582,TKT,Tak,TEZ,Tezpur,200,544,9,20,120.69
190,2021/9/6,921,1237,120,BLG,Belaga,KLO,Kalibo,200,2475,9,0,140.01
191,2021/5/24,923,1026,1004,CNO,Chino,GVR,Governador Valadares,200,187,9,19,37.96
192,2021/5/25,926,1404,215,UZR,Urzhar,LFQ,LINFEN,200,1608,9,29,21.09
193,2021/5/30,926,1221,57,GBT,Gorgan,UGU,Sugapa-Papua Island,200,1028,9,22,63.84
194,2021/5/9,926,1233,1597,CNW,Waco,TCO,Tumaco,200,1726,9,28,96.12
195,2021/12/20,927,1231,1335,TQS,Tres Esquinas,ALO,Waterloo,200,1080,9,30,52.73
196,2021/11/4,929,1028,4636,AGH,Ängelholm,JHB,Johor Bahru,200,199,9,29,54.72
197,2021/11/16,929,1220,766,BHM,Birmingham,PUW,Pullman,200,1605,9,25,53.86
198,2021/9/16,930,1218,1148,WGP,Waingapu,ANE,Angers/Marcé,200,997,9,5,70.11
199,2021/7/1,931,1237,375,SNE,Sao Nocolau Island,LWY,Lawas,200,1076,9,30,168.96
200,2021/8/4,931,1121,255,YNL,Points North Landing,SSE,Sholapur,200,733,9,30,110.05
201,2021/6/14,932,1219,251,GBA,Pailton,ASN,Talladega,200,2248,9,30,123.59
202,2021/5/29,933,1057,4,BAS,Ballalae,MCP,Macapa,200,301,9,37,175.38
203,2021/5/28,933,1252,17,DMK,Bangkok,IMF,Imphal,200,1069,9,4,17.32
204,2021/6/21,933,1120,3895,SFB,Sanford,XMS,Macas,200,725,9,35,171.92
205,2021/8/24,936,1235,2137,FJR,Fujeirah,ABF,Abaiang Atoll,200,1010,9,40,97.21
206,2021/10/3,936,1257,1903,SKV,St. Catherine,YQK,Kenora,200,1047,9,45,117.67
207,2021/12/9,937,1238,361,FUL,Fullerton,CHG,Chaoyang,200,1035,9,40,139.55
208,2021/9/13,937,1127,1807,BOB,Bora Bora,ESH,Shoreham By Sea,200,738,9,40,88.5
209,2021/12/28,940,1119,319,DUE,Dundo,KRH,Redhill,200,733,9,45,74.77
210,2021/10/7,940,1226,4654,YPE,Peace River,GHC,Bullocks Harbour,200,762,9,55,180.16
211,2021/8/12,941,1300,679,ATC,Arthur's Town,APC,Napa,200,2475,9,45,162.06
212,2021/10/8,946,1146,4175,KLV,Karlovy Vary,YOS,Owen Sound,200,583,9,59,64.64
213,2021/6/19,947,1053,600,GHC,Bullocks Harbour,AEB,Baise,200,273,9,53,177.9
214,2021/6/3,950,1155,4681,AAE,Annaba,ENH,Enshi,200,872,9,54,80.38
215,2021/10/26,953,1141,4670,YXP,Pangnirtung,CTG,Cartagena,200,764,9,59,102.7
216,2021/9/3,953,1320,222,UKX,Ust-Kut,KMA,Kerema,200,2454,9,21,12.07
217,2021/11/13,955,1336,75,OLC,Sao Paulo de Olivenca,CTN,Cooktown,200,2133,10,0,114.54
218,2021/6/2,956,1241,1847,ROD,Robertson,PEN,Penang,200,762,10,0,22.52
219,2021/11/12,957,1056,856,MLC,Mcalester,ODB,Cordoba,200,200,7,33,55.96
220,2021/8/17,959,1313,2379,TMX,Timimoun,INQ,Inisheer,200,1076,10,2,156.45
221,2021/12/12,959,1151,1177,CUF,Cuneo,AGQ,Agrinion,200,544,10,0,187.64
222,2021/6/22,1003,1255,503,OIM,Oshima,VXE,Sao Vicente Island,200,1065,10,10,105.44
223,2021/9/15,1003,1408,196,MTY,Monterrey,CYW,Celaya,200,2153,9,59,72.87
224,2021/9/17,1005,1239,1625,YNT,Yantai,CBQ,Calabar,200,1605,10,0,67.76
225,2021/10/13,1007,1147,3795,PLW,Palu,PHY,Phetchabun,200,719,10,10,72.75
226,2021/5/2,1009,1219,2319,CCH,Chile Chico,GMV,Monument Valley,200,1020,10,15,72.56
227,2021/11/8,1010,1204,1103,MOT,Minot,NTD,Point Mugu,200,529,10,15,112.31
228,2021/6/15,1010,1225,1441,AVA,Anshun,YRT,Rankin Inlet,200,541,10,15,154.02
229,2021/7/12,1011,1133,5736,SHI,Shimojishima,BMU,Bima,200,229,10,1,165.02
230,2021/9/2,1011,1246,1529,HYA,Barnstable,GTO,Gorontalo,200,2248,10,15,61.64
231,2021/12/4,1021,1254,347,BCU,Bauchi,BMT,Beaumont,200,762,10,23,48.23
232,2021/7/25,1024,1140,4709,PSM,Portsmouth,AKX,Aktyubinsk,200,282,10,29,170.02
233,2021/5/1,1024,1204,4471,RDM,Redmond-Bend,YDG,Digby,200,431,10,30,174.04
234,2021/10/20,1025,1356,731,BHR,Bharatpur,MTC,Mount Clemens,200,1389,10,20,40.34
235,2021/8/22,1025,1258,501,DAC,Dhaka,KNU,Kanpur,200,937,9,51,94.89
236,2021/7/12,1026,1351,19,SZZ,Szczecin,MBG,Mobridge,200,2475,10,30,34.05
237,2021/12/18,1028,1350,1004,TDD,Trinidad,YCO,Coppermine,200,1416,10,26,77.17
238,2021/10/4,1029,1427,179,YFC,Fredericton,HTL,Houghton Lake,200,2586,10,30,108.81
239,2021/12/7,1030,1229,4277,KOI,Kirkwall,VRO,Kawama,200,628,10,35,157.59
240,2021/6/4,1031,1353,23,HDR,Bandar Abbas,LOL,Lovelock,200,2586,10,30,76.76
241,2021/8/12,1031,1323,1294,LNN,Willoughby,RRK,Rourkela,200,1065,10,30,134.72
242,2021/6/18,1032,1305,4180,BDH,Bandar Lengeh,SVL,Savonlinna,200,645,10,35,69.64
243,2021/5/6,1033,1130,779,VVZ,Illizi,MPL,Montpellier,200,200,10,17,140.25
244,2021/9/9,1037,1221,321,DGL,Douglas,AMS,Amsterdam,200,733,10,30,105.42
245,2021/7/16,1038,1223,985,RKT,Ras Al Khaimah,PAG,Pagadian,200,719,10,30,191.56
246,2021/7/21,1042,1325,31,LDK,Lidkoping,END,Enid,200,944,10,40,82.28
247,2021/10/29,1044,1231,4322,AZO,Kalamazoo,EHM,Cape Newenham,200,725,10,45,175.83
248,2021/12/17,1044,1352,455,NAU,Napuka,CNQ,Corrientes,200,1400,10,45,142.35
249,2021/7/12,1044,1339,1060,DLH,Duluth,LCQ,Lake City,200,1068,10,41,42.61
250,2021/6/23,1047,1359,739,OZR,Fort Rucker/Ozark,HPG,Shennongjia,200,1389,10,55,193.14
251,2021/10/1,1047,1401,1275,BOW,Bartow,CDC,Cedar City,200,1990,10,50,188.6
252,2021/7/8,1048,1302,4589,VBY,Visby,NAO,Nanchong,200,502,10,50,147.38
253,2021/7/3,1053,1402,373,BET,Bethel,RUM,Rumjatar,200,1076,10,50,70.65
254,2021/8/14,1054,1326,1647,KYS,Kayes,XMS,Macas,200,762,10,59,94.47
255,2021/5/28,1056,1203,4479,DYU,Dushanbe,STP,St. Paul,200,284,10,59,25.78
256,2021/9/24,1056,1407,2185,KHD,Khorram Abad,LNR,Lone Rock,200,1010,11,0,30.3
257,2021/11/17,1058,1210,2171,RJL,Logroño-Agoncillo,ANS,Andahuaylas,200,214,11,0,64.3
258,2021/8/7,1059,1201,321,USU,Busuanga,BAI,Buenos Aires,200,185,11,0,198.62
259,2021/8/21,1059,1210,3792,NAA,Narrabri,QLP,Sarzana (SP),200,213,11,0,169.09
260,2021/10/24,1059,1342,369,VDY,Toranagallu,WIC,Wick,200,2227,10,53,105.31
261,2021/10/29,1101,1345,545,IKB,North Wilkesboro,CJU,Cheju,200,1023,10,43,155.81
262,2021/6/19,1103,1410,2071,FJR,Fujeirah,TKH,Nakhon Sawan,200,1096,11,0,119.92
263,2021/5/20,1105,1428,688,GDO,Guasdualito,SYQ,San Jose,200,2565,10,47,100.38
264,2021/8/21,1107,1305,4485,NLT,Xinyuan,OTJ,Otjiwarongo,200,479,11,15,90.99
265,2021/6/29,1109,1402,2099,STN,London,YEV,Inuvik,200,1096,11,15,123.61
266,2021/10/26,1111,1222,24,ANV,Anvik,QLF,Vesivehmaa,200,266,11,15,139.8
267,2021/11/21,1112,1440,285,CWB,Curitiba,GNZ,Ghanzi,200,2586,11,0,176.48
268,2021/12/17,1113,1318,1031,FMO,Munster,SVG,Stavanger,200,502,11,15,178.45
269,2021/7/25,1114,1447,1086,ACC,Accra,SCV,Suceava,200,1416,9,0,169.92
270,2021/7/16,1120,1331,4495,CMQ,Clermont,PPR,Pasir Pangaraian,200,708,9,44,85.84
271,2021/11/20,1120,1330,1057,KZS,Kastelorizo,KGL,Kigali,200,888,11,25,82.66
272,2021/5/24,1123,1410,405,CVN,Clovis,BQK,Brunswick,200,1620,11,10,72.19
273,2021/10/16,1124,1435,641,HRB,Harbin,AVV,Avalon,200,2586,11,0,134.54
274,2021/12/15,1124,1445,1171,DYR,Anadyr,MLB,Melbourne,200,1080,11,25,63.65
275,2021/11/24,1125,1325,1085,PNB,Porto Nacional,UBP,Ubon Ratchathani,200,544,11,30,58.48
276,2021/10/19,1127,1303,4294,GHT,Ghat,HYS,Hays,200,416,11,29,88.45
277,2021/7/13,1127,1504,703,LDM,Ludington,SXO,Sao Felix do Araguaia,200,2475,11,30,110.49
